t,step,pos_left_hip_yaw,pos_left_hip_roll,pos_left_hip_pitch,pos_left_knee,pos_left_ankle,pos_neck_pitch,pos_head_pitch,pos_head_yaw,pos_head_roll,pos_right_hip_yaw,pos_right_hip_roll,pos_right_hip_pitch,pos_right_knee,pos_right_ankle,vel_left_hip_yaw,vel_left_hip_roll,vel_left_hip_pitch,vel_left_knee,vel_left_ankle,vel_neck_pitch,vel_head_pitch,vel_head_yaw,vel_head_roll,vel_right_hip_yaw,vel_right_hip_roll,vel_right_hip_pitch,vel_right_knee,vel_right_ankle,action_left_hip_yaw,action_left_hip_roll,action_left_hip_pitch,action_left_knee,action_left_ankle,action_neck_pitch,action_head_pitch,action_head_yaw,action_head_roll,action_right_hip_yaw,action_right_hip_roll,action_right_hip_pitch,action_right_knee,action_right_ankle,target_left_hip_yaw,target_left_hip_roll,target_left_hip_pitch,target_left_knee,target_left_ankle,target_neck_pitch,target_head_pitch,target_head_yaw,target_head_roll,target_right_hip_yaw,target_right_hip_roll,target_right_hip_pitch,target_right_knee,target_right_ankle,cur_left_hip_yaw,cur_left_hip_roll,cur_left_hip_pitch,cur_left_knee,cur_left_ankle,cur_right_hip_yaw,cur_right_hip_roll,cur_right_hip_pitch,cur_right_knee,cur_right_ankle,pwm_left_hip_yaw,pwm_left_hip_roll,pwm_left_hip_pitch,pwm_left_knee,pwm_left_ankle,pwm_right_hip_yaw,pwm_right_hip_roll,pwm_right_hip_pitch,pwm_right_knee,pwm_right_ankle,tqen_left_hip_yaw,tqen_left_hip_roll,tqen_left_hip_pitch,tqen_left_knee,tqen_left_ankle,tqen_right_hip_yaw,tqen_right_hip_roll,tqen_right_hip_pitch,tqen_right_knee,tqen_right_ankle,contact_l,contact_r,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,proj_grav_x,proj_grav_y,proj_grav_z,phase_cos,phase_sin
0.2419,10,0.016873788,0.04295146,0.9756118,-1.6981168,0.57370883,0.5236,0.5236,0.0,0.0,-0.05675729,0.0046019424,0.8697671,1.6428934,-0.6550098,0.14388494,-0.26378906,-0.57553977,-0.28776988,0.0,0.0,0.0,0.0,0.0,-0.8393288,-0.7194247,-0.551559,-0.8872905,0.23980825,0.37559724,0.6479554,0.43830922,-0.63765085,0.27295893,-0.23031881,-0.0013537882,0.17283478,-0.10170318,-0.58433723,0.35443118,-0.5762015,-0.7892218,0.42344427,0.09079931,0.11754183,1.0047773,-1.5659163,0.8126398,0.5236,0.5236,0.0,0.0,-0.14978431,0.0782078,0.78744966,1.4077103,-0.6329389,-0.08877,-0.061869999999999994,-0.29052,0.13719,0.0,0.08877,-0.35508,0.0,0.93074,-0.00269,-0.7502824858757062,-0.44745762711864406,-1.0,1.0,1.0,0.9299435028248587,0.31864406779661014,-1.0,1.0,-0.6361581920903955,1,1,1,1,1,1,1,1,1,1,1.0,1.0,-0.22907446432425577,1.4933473412376483,0.2585268954516601,-0.44,0.46,9.61,0.14384633,0.0061211204,-0.9895811,-0.6862416,0.72737366
0.2620,11,0.070563115,0.04295146,0.99401957,-1.7088546,0.5905826,0.5236,0.5236,0.0,0.0,-0.09970875,0.02147573,0.8406215,1.6045439,-0.6320001,0.8872905,-0.5275781,-0.35971236,-0.3117507,0.28776988,0.0,0.0,0.0,0.0,-1.1750604,-0.16786577,-0.7194247,-1.1270987,0.5275781,0.34056044,1.090528,-0.07269866,-1.2676008,0.2553327,-0.28655505,-0.024423221,-0.13880299,-0.16022667,-0.50399876,0.22286847,-0.55369633,-0.8279015,0.40908194,0.08204011,0.21394183,0.9083773,-1.6623163,0.8082332,0.5236,0.5236,0.0,0.0,-0.12969969,0.045317117,0.7930759,1.3930247,-0.6365295,1.15132,-0.02152,0.42771,0.05111,0.01614,0.059179999999999996,0.6805699999999999,-0.01345,0.01883,0.00269,0.4440677966101695,-1.0,0.28700564971751413,0.9310734463276836,1.0,0.7966101694915254,0.6666666666666666,-1.0,1.0,0.9548022598870056,1,1,1,1,1,1,1,1,1,1,1.0,1.0,-0.2814343418840856,1.0777408131064985,0.11344640137963143,-2.69,-0.36,9.01,0.16737022,0.009184951,-0.98585135,-0.8354878,0.549509
0.2799,12,0.088970885,0.06902914,1.0001554,-1.7180585,0.6181943,0.5236,0.5236,0.0,0.0,-0.13038836,0.053689327,0.8114758,1.5677284,-0.6212622,1.4628303,-0.407674,0.0,-0.35971236,0.551559,0.0,0.0,0.0,0.0,-1.4628303,0.33573154,-0.9832138,-1.366907,0.7194247,0.36478972,1.4140941,-0.56639105,-1.2872092,0.22219226,-0.23640405,-0.069151394,-0.4540939,-0.21230488,-0.30386755,0.21970937,-0.46409756,-0.5117606,0.33671162,0.08809743,0.31034184,0.81197727,-1.7587163,0.7999481,0.5236,0.5236,0.0,0.0,-0.07966689,0.04452734,0.81547564,1.4720598,-0.6546221,0.92536,-0.44115999999999994,0.0,0.00807,0.22057999999999997,-0.50572,-0.6240800000000001,0.39005,0.12643,0.09953000000000001,0.7378531073446327,-1.0,1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,0.9785310734463277,1,1,1,1,1,1,1,1,1,1,1.0,1.0,-0.3577924966588375,0.6403176693254197,0.28907015736156083,-3.22,1.94,9.0,0.17348123,0.012245732,-0.984761,-0.9396926,0.34202015
0.3019,13,0.09203885,0.13038836,0.96947587,-1.7318643,0.65040785,0.5236,0.5236,0.0,0.0,-0.13805827,0.06135923,0.79153407,1.5247769,-0.6135923,1.5587536,0.3117507,0.14388494,-0.45563567,0.8872905,0.0,0.0,0.0,0.0,-1.5827343,0.7913672,-1.223022,-1.6546768,0.7434055,0.512476,1.4560348,-0.70758575,-1.0652808,0.24569705,-0.13892664,-0.028974904,-0.5517288,-0.35428065,-0.116508186,0.16904445,-0.25981382,-0.06730812,0.38692778,0.12501901,0.3847087,0.71830356,-1.8356203,0.8058243,0.5236,0.5236,0.0,0.0,-0.032827046,0.03186111,0.8665466,1.5684599,-0.642068,0.28245,-0.15602000000000002,0.26631,0.0,0.00269,-0.51648,-0.21788999999999997,0.08608,-0.08070000000000001,0.11298,0.0711864406779661,-1.0,1.0,-1.0,1.0,-0.5683615819209039,-0.15932203389830507,1.0,0.5807909604519774,1.0,1,1,1,1,1,1,1,1,1,1,1.0,1.0,-0.33488505022641196,-0.032724923474893676,0.03381575425739013,-1.89,1.48,10.23,0.1754326,0.021419095,-0.9842584,-0.99323833,0.11609291
0.3198,14,0.09510681,0.20095149,0.90658265,-1.7456701,0.6964273,0.5236,0.5236,0.0,0.0,-0.111980595,0.05675729,0.7853982,1.515573,-0.6166603,1.1510795,1.366907,-0.33573154,-0.551559,1.2709837,0.0,0.0,0.0,0.0,-1.103118,0.7913672,-1.1750604,-1.7266194,0.5995206,0.55635226,1.2056166,-0.77335346,-0.90320194,0.36824194,-0.011192451,0.07877088,-0.57762414,-0.4589591,-0.024194874,0.029301029,-0.04252102,0.2643107,0.36264664,0.13598807,0.32210416,0.7018616,-1.7951006,0.83646053,0.5236,0.5236,0.0,0.0,-0.009748719,-0.0030747429,0.92086977,1.6648599,-0.64813834,-1.06793,-0.00807,0.01883,-0.040350000000000004,0.13181,-0.26631,-0.31473,0.12912,0.0,-0.01345,-0.8768361581920904,-1.0,1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1,1,1,1,1,1,1,1,1,1,1.0,1.0,-0.5345070834232634,0.19089538693687977,0.19962203319685143,-3.36,-0.6,8.68,0.17756507,0.02653271,-0.9837513,-0.99323833,-0.11609291
0.3420,15,0.11504856,0.27765054,0.8237477,-1.7702138,0.76545644,0.5236,0.5236,0.0,0.0,-0.06289321,0.047553405,0.80380595,1.5477866,-0.6166603,0.6235014,2.4700248,-1.6067152,-0.6474822,1.8465234,0.0,0.0,0.0,0.0,-0.023980824,0.43165484,-0.7673864,-1.223022,0.28776988,0.5203312,1.0647852,-1.0101346,-0.8806824,0.48301062,0.16086072,0.34982952,-0.5430542,-0.2956125,-0.08479751,0.09166373,0.24852401,-0.0016076749,0.5549422,0.12698281,0.28689632,0.64266634,-1.7894707,0.86515266,0.5236,0.5236,0.0,0.0,-0.024899377,0.012515933,0.993631,1.599598,-0.60006446,0.00538,0.89846,0.02152,0.1345,0.00269,0.19906000000000001,-0.25017,0.00269,-0.47613,0.01076,-0.656497175141243,0.10847457627118644,1.0,0.3050847457627119,0.9943502824858758,-0.5062146892655367,-0.7084745762711865,1.0,-0.9661016949152542,1.0,1,1,1,1,1,1,1,1,1,1,1.0,1.0,-1.399535893942953,0.8617563181722002,-0.3119776037939864,-2.4,0.42,3.21,0.20105663,0.060214926,-0.9777271,-0.9396926,-0.34202015
0.3621,16,0.13345633,0.31753403,0.75318456,-1.7916895,0.8222137,0.5236,0.5236,0.0,0.0,-0.026077673,0.030679615,0.8498254,1.6168158,-0.61972827,0.57553977,2.997603,-2.7098331,-0.8393288,2.3501208,0.0,0.0,0.0,0.0,1.0071946,-0.11990412,0.023980824,0.0,0.07194247,0.5708968,0.8565832,-1.1190032,-0.73680145,0.65053636,0.25417584,0.46186522,-0.5706474,-0.23402558,-0.046418652,0.1401033,0.21405494,-0.26584443,0.8919944,0.13962421,0.23484579,0.6154492,-1.7535005,0.9070341,0.5236,0.5236,0.0,0.0,-0.015304663,0.024625823,0.9850137,1.5335389,-0.51580137,0.11567,0.33625,0.07263,0.07263,-0.03497,0.35239,-0.4035,0.00538,0.80431,-0.01076,0.03728813559322034,1.0,1.0,0.6598870056497175,1.0,-0.16045197740112993,-0.32994350282485874,1.0,0.9231638418079096,-1.0,1,1,1,1,1,1,1,1,1,1,1.0,1.0,-1.3439035240356338,0.7112216701876892,-0.21925698728178766,-1.84,-2.8,3.72,0.21436328,0.087786876,-0.97280097,-0.8354878,-0.549509
0.3799,17,0.13345633,0.32520393,0.70102924,-1.8024274,0.8544273,0.5236,0.5236,0.0,0.0,-0.02147573,0.032213595,0.8989127,1.6428934,-0.6074564,0.57553977,2.7577949,-3.1894495,-0.91127133,2.6139097,0.0,0.0,0.0,0.0,1.4628303,-0.35971236,0.8633097,1.1510795,0.0,0.59306514,0.749626,-1.1255436,-0.5289371,0.5391802,0.19440912,0.5564421,-0.5878209,-0.17719893,-0.06156955,0.12742133,0.08044965,-0.72467864,0.99214,0.1451663,0.20810649,0.6138141,-1.7015343,0.8791951,0.5236,0.5236,0.0,0.0,-0.019092387,0.021455333,0.9516124,1.4371389,-0.49076498,-0.32818,0.29052,0.13719,0.32549,0.01076,-0.31473,0.46268,-0.09684000000000001,0.55414,-0.01883,0.096045197740113,1.0,1.0,1.0,1.0,-0.5966101694915255,-0.20451977401129945,-0.8429378531073446,1.0,-1.0,1,1,1,1,1,1,1,1,1,1,1.0,1.0,-1.315541923690726,0.6839509006252779,-0.2617993877991494,-0.94,-2.54,6.61,0.22037823,0.09998642,-0.97027636,-0.6862416,-0.72737366
0.4020,18,0.14879614,0.32213596,0.65040785,-1.8162333,0.89277685,0.5236,0.5236,0.0,0.0,-0.023009712,0.04141748,0.9157865,1.6398255,-0.5660389,0.5995206,1.8465234,-3.1654687,-0.93525213,2.446044,0.0,0.0,0.0,0.0,1.2470028,-0.28776988,1.630696,1.6546768,0.3117507,0.5273694,0.6704768,-1.1239384,-0.22258145,0.3482285,0.059168942,0.4861456,-0.51263326,-0.13967912,-0.10846048,0.05394722,-0.15869564,-1.1666942,0.8798285,0.12874235,0.1883192,0.6142154,-1.6249454,0.83145714,0.5236,0.5236,0.0,0.0,-0.030815119,0.0030868053,0.8918261,1.3407389,-0.5188429,0.07532,0.00538,-0.17216,0.25286,-0.37390999999999996,-0.16409,-0.25286,0.0,1.4257,-0.00269,0.16271186440677965,1.0,0.04180790960451977,1.0,-0.7898305084745763,-0.319774011299435,-0.06779661016949153,0.3943502824858757,1.0,-1.0,1,1,1,1,1,1,1,1,1,1,1.0,1.0,-0.1407171709420428,0.6490443155853912,0.3043417883165112,-3.06,-0.84,15.68,0.23983961,0.11940952,-0.96344084,-0.5,-0.8660254
0.4199,19,0.15493207,0.30833015,0.62586415,-1.8239032,0.90504867,0.5236,0.5236,0.0,0.0,-0.024543693,0.04295146,0.9111846,1.6229516,-0.5123496,0.551559,0.8872905,-2.7577949,-0.7673864,1.9904084,0.0,0.0,0.0,0.0,0.6714631,-0.07194247,1.5827343,1.2470028,0.93525213,0.42952687,0.65854174,-0.985613,0.094071686,0.043151952,-0.08930558,0.36889076,-0.36798692,-0.08516323,-0.233797,-0.044459976,-0.34351942,-1.4031438,0.6719556,0.104281716,0.18533543,0.6487968,-1.5457821,0.755188,0.5236,0.5236,0.0,0.0,-0.06214925,-0.021514993,0.84562016,1.249214,-0.5708111,0.8096899999999999,0.7989299999999999,0.0,0.09953000000000001,-0.08070000000000001,0.03228,-0.07532,0.0,0.09953000000000001,0.80431,0.39322033898305087,1.0,0.3288135593220339,1.0,-1.0,0.9966101694915255,-1.0,-1.0,1.0,0.8033898305084746,1,1,1,1,1,1,1,1,1,1,1.0,1.0,0.5486878835957173,0.40906154343617096,1.6427911584396626,-6.49,1.15,17.48,0.24697298,0.11328099,-0.9623782,-0.28680325,-0.9579895
